model,accuracy,precision,recall,f1_score,roc_auc,pr_auc
XGBoost_ClassWeight,0.9155688014359739,0.26948282668772205,0.8257924026131139,0.4063578997499702,0.9442078218812127,0.6811575453028498
LightGBM_ClassWeight,0.9056880143597386,0.24798561151079138,0.834018872489717,0.38229911828314755,0.9424891771709755,0.671261338688619
LightGBM_SMOTE,0.9781471195854642,0.8837784371909001,0.43237357851439634,0.5806661251015435,0.9233479863203877,0.6443640449034475
XGBoost_SMOTE,0.9778592474684188,0.8746298124383021,0.4287442535688362,0.5754180873518429,0.9177659163160513,0.6317023963373495
RandomForest_ClassWeight,0.885020489721272,0.19900592620913785,0.7556254536656182,0.31504085544234844,0.9010983419422219,0.570316520107917
RandomForest_SMOTE,0.9653791445118027,0.5058047493403693,0.4638277280425841,0.48390761075350247,0.8774660322304859,0.5006790284226766
LogisticRegression_ClassWeight,0.8323060249940732,0.14014786242365798,0.7384466489233003,0.23558471632574296,0.8671468474707529,0.4408662353192942
LogisticRegression_SMOTE,0.8765790632302638,0.1653422199436042,0.6242438906363417,0.26143790849673204,0.8318004896099196,0.3847577265499934
